date,store_id,product_id,category,mrp,discount_pct,net_sales,units_sold,promo_flag
2023-07-01,S001,P014,Prescription,187.08,0,748.32,4,0
2023-07-01,S001,P040,OTC,166.45,10,1198.44,8,1
2023-07-01,S001,P031,Wellness,70.35,0,351.75,5,0
2023-07-01,S001,P046,OTC,183.32,0,183.32,1,0
2023-07-01,S001,P018,OTC,139.42,0,836.52,6,0
2023-07-01,S001,P049,OTC,330.48,0,660.96,2,0
2023-07-01,S001,P027,Personal Care,316.08,0,2212.56,7,0
2023-07-01,S001,P026,Prescription,61.44,0,122.88,2,0
2023-07-01,S002,P021,OTC,164.26,0,1149.82,7,0
2023-07-01,S002,P035,OTC,335.46,10,1207.66,4,1
2023-07-01,S002,P048,Personal Care,158.97,15,945.87,7,1
2023-07-01,S002,P049,Personal Care,315.9,10,568.62,2,1
2023-07-01,S002,P014,Wellness,473.24,0,3312.68,7,0
2023-07-01,S002,P016,Prescription,491.98,5,2804.29,6,1
2023-07-01,S002,P010,Personal Care,376.68,15,1280.71,4,1
2023-07-01,S002,P017,Wellness,311.31,0,2179.17,7,0
2023-07-01,S003,P002,Personal Care,126.27,5,719.74,6,1
2023-07-01,S003,P029,Personal Care,182.88,0,914.4,5,0
2023-07-01,S003,P010,Prescription,440.18,20,3169.3,9,1
2023-07-01,S003,P013,Personal Care,259.52,5,493.09,2,1
2023-07-01,S003,P018,Wellness,67.48,0,472.36,7,0
2023-07-01,S003,P011,Personal Care,336.84,10,1818.94,6,1
2023-07-01,S003,P044,Medical Devices,132.95,0,664.75,5,0
2023-07-01,S003,P024,OTC,347.09,0,2429.63,7,0
2023-07-01,S004,P015,OTC,343.17,0,1029.51,3,0
2023-07-01,S004,P049,Prescription,357.35,0,714.7,2,0
2023-07-01,S004,P007,Prescription,167.31,5,635.78,4,1
2023-07-01,S004,P022,Medical Devices,176.92,0,1769.2,10,0
2023-07-01,S004,P006,OTC,157.21,0,628.84,4,0
2023-07-01,S004,P050,Wellness,54.88,20,263.42,6,1
2023-07-01,S004,P035,Personal Care,321.1,5,2135.32,7,1
2023-07-01,S004,P009,Personal Care,449.47,0,1797.88,4,0
2023-07-01,S005,P016,Medical Devices,486.45,0,3405.15,7,0
2023-07-01,S005,P011,OTC,332.4,5,1578.9,5,1
2023-07-01,S005,P041,Wellness,201.05,0,804.2,4,0
2023-07-01,S005,P043,Wellness,493.79,10,3999.7,9,1
2023-07-01,S005,P049,Prescription,87.24,15,444.92,6,1
2023-07-01,S005,P028,Prescription,221.4,20,885.6,5,1
2023-07-01,S005,P034,Wellness,415.81,20,2328.54,7,1
2023-07-01,S005,P023,Personal Care,173.63,0,694.52,4,0
2023-07-01,S006,P049,Personal Care,158.07,0,316.14,2,0
2023-07-01,S006,P035,Wellness,131.85,0,659.25,5,0
2023-07-01,S006,P007,Medical Devices,205.29,0,615.87,3,0
2023-07-01,S006,P013,Prescription,107.94,0,431.76,4,0
2023-07-01,S006,P039,Personal Care,464.39,0,1857.56,4,0
2023-07-01,S006,P009,Prescription,391.98,5,744.76,2,1
2023-07-01,S006,P026,Personal Care,371.01,15,1576.79,5,1
2023-07-01,S006,P028,OTC,381.83,0,1527.32,4,0
2023-07-01,S007,P017,Personal Care,307.23,0,1536.15,5,0
2023-07-01,S007,P046,OTC,324.78,0,1299.12,4,0
2023-07-01,S007,P007,Prescription,254.42,5,725.1,3,1
2023-07-01,S007,P050,Medical Devices,51.22,0,307.32,6,0
2023-07-01,S007,P038,Medical Devices,378.89,20,909.34,3,1
2023-07-01,S007,P015,Medical Devices,112.9,10,203.22,2,1
2023-07-01,S007,P030,Medical Devices,156.06,10,1264.09,9,1
2023-07-01,S007,P049,OTC,154.5,15,919.27,7,1
2023-07-01,S008,P042,Prescription,204.14,0,1020.7,5,0
2023-07-01,S008,P028,OTC,58.15,15,395.42,8,1
2023-07-01,S008,P031,Medical Devices,96.91,15,247.12,3,1
2023-07-01,S008,P009,Wellness,106.1,20,339.52,4,1
2023-07-01,S008,P019,OTC,142.51,10,769.55,6,1
2023-07-01,S008,P007,Personal Care,253.5,0,760.5,3,0
2023-07-01,S008,P018,Medical Devices,461.68,0,923.36,2,0
2023-07-01,S008,P014,Medical Devices,281.83,20,1127.32,5,1
2023-07-01,S009,P020,Personal Care,343.74,0,1718.7,5,0
2023-07-01,S009,P033,Medical Devices,113.49,5,539.08,5,1
2023-07-01,S009,P045,Personal Care,312.37,5,1780.51,6,1
2023-07-01,S009,P027,Medical Devices,205.34,10,924.03,5,1
2023-07-01,S009,P021,Personal Care,452.55,10,814.59,2,1
2023-07-01,S009,P005,Prescription,335.07,0,1675.35,5,0
2023-07-01,S009,P040,Personal Care,420.16,5,1596.61,4,1
2023-07-01,S009,P011,Wellness,142.89,0,857.34,6,0
2023-07-01,S010,P027,Personal Care,418.6,10,1506.96,4,1
2023-07-01,S010,P006,Personal Care,482.94,10,3477.17,8,1
2023-07-01,S010,P018,OTC,456.51,10,1232.58,3,1
2023-07-01,S010,P031,OTC,131.26,5,374.09,3,1
2023-07-01,S010,P012,Prescription,239.79,10,863.24,4,1
2023-07-01,S010,P007,Personal Care,302.3,5,2584.66,9,1
2023-07-01,S010,P014,Medical Devices,327.14,0,654.28,2,0
2023-07-01,S010,P046,Medical Devices,288.02,20,2534.58,11,1
2023-07-02,S001,P016,Medical Devices,333.4,0,2667.2,8,0
2023-07-02,S001,P023,Medical Devices,150.72,5,715.92,5,1
2023-07-02,S001,P036,OTC,69.97,15,237.9,4,1
2023-07-02,S001,P033,Wellness,217.71,0,653.13,3,0
2023-07-02,S001,P017,Medical Devices,452.52,20,2172.1,6,1
2023-07-02,S001,P019,Medical Devices,170.16,15,1735.63,12,1
2023-07-02,S001,P039,Personal Care,445.58,0,1336.74,3,0
2023-07-02,S001,P022,Prescription,424.46,5,0.0,0,1
2023-07-02,S002,P039,Personal Care,163.63,0,654.52,4,0
2023-07-02,S002,P036,Medical Devices,362.16,0,1810.8,5,0
2023-07-02,S002,P002,Wellness,379.07,20,2426.05,8,1
2023-07-02,S002,P048,OTC,343.25,0,3432.5,10,0
2023-07-02,S002,P038,Medical Devices,460.33,20,736.53,2,1
2023-07-02,S002,P008,OTC,323.29,0,1293.16,4,0
2023-07-02,S002,P009,Prescription,408.9,0,408.9,1,0
2023-07-02,S002,P029,Prescription,356.21,0,3205.89,9,0
2023-07-02,S003,P031,Wellness,202.75,15,1034.03,6,1
2023-07-02,S003,P024,Prescription,247.37,10,1781.06,8,1
2023-07-02,S003,P005,Personal Care,122.75,0,491.0,4,0
2023-07-02,S003,P004,Personal Care,356.1,0,712.2,2,0
2023-07-02,S003,P021,Medical Devices,377.23,10,1358.03,4,1
2023-07-02,S003,P001,OTC,281.3,5,801.7,3,1
2023-07-02,S003,P023,Wellness,239.77,0,1438.62,6,0
2023-07-02,S003,P025,Wellness,459.06,0,2295.3,5,0
2023-07-02,S004,P044,Wellness,292.96,0,878.88,3,0
2023-07-02,S004,P007,OTC,104.95,5,299.11,3,1
2023-07-02,S004,P040,Prescription,228.82,5,434.76,2,1
2023-07-02,S004,P018,Medical Devices,440.56,5,1674.13,4,1
2023-07-02,S004,P013,Medical Devices,114.59,20,366.69,4,1
2023-07-02,S004,P032,Medical Devices,483.51,0,1450.53,3,0
2023-07-02,S004,P042,Prescription,328.03,15,1394.13,5,1
2023-07-02,S004,P041,Medical Devices,350.14,5,2328.43,7,1
2023-07-02,S005,P033,Wellness,61.54,0,553.86,9,0
2023-07-02,S005,P043,Personal Care,53.4,10,240.3,5,1
2023-07-02,S005,P044,Prescription,124.85,10,674.19,6,1
2023-07-02,S005,P009,Prescription,172.68,5,492.14,3,1
2023-07-02,S005,P005,Medical Devices,133.06,0,532.24,4,0
2023-07-02,S005,P016,OTC,218.08,5,207.18,1,1
2023-07-02,S005,P020,Medical Devices,447.89,0,2687.34,6,0
2023-07-02,S005,P037,Medical Devices,185.93,10,1004.02,6,1
2023-07-02,S006,P039,OTC,152.0,0,304.0,2,0
2023-07-02,S006,P020,Medical Devices,81.47,10,366.61,5,1
2023-07-02,S006,P042,Prescription,497.36,10,1790.5,4,1
2023-07-02,S006,P001,Wellness,482.75,10,2172.38,5,1
2023-07-02,S006,P016,Wellness,491.56,5,1400.95,3,1
2023-07-02,S006,P041,Wellness,467.15,5,2218.96,5,1
2023-07-02,S006,P024,Wellness,401.91,10,723.44,2,1
2023-07-02,S006,P005,Prescription,221.41,0,1328.46,6,0
2023-07-02,S007,P032,Medical Devices,61.62,0,431.34,7,0
2023-07-02,S007,P017,Medical Devices,57.96,10,208.66,4,1
2023-07-02,S007,P033,Personal Care,389.41,10,1051.41,3,1
2023-07-02,S007,P005,Wellness,186.47,0,1118.82,6,0
2023-07-02,S007,P019,Wellness,345.08,15,2053.23,7,1
2023-07-02,S007,P011,Medical Devices,396.19,0,792.38,2,0
2023-07-02,S007,P008,Medical Devices,392.13,0,784.26,2,0
2023-07-02,S007,P023,Prescription,333.18,0,333.18,1,0
2023-07-02,S008,P022,Personal Care,55.45,20,266.16,6,1
2023-07-02,S008,P044,Personal Care,235.46,5,671.06,3,1
2023-07-02,S008,P045,Wellness,454.51,10,1227.18,3,1
2023-07-02,S008,P006,Wellness,326.76,10,1470.42,5,1
2023-07-02,S008,P030,Prescription,320.85,5,1828.84,6,1
2023-07-02,S008,P027,OTC,219.2,5,1041.2,5,1
2023-07-02,S008,P014,OTC,340.61,0,3746.71,11,0
2023-07-02,S008,P023,Personal Care,171.2,5,487.92,3,1
2023-07-02,S009,P035,Wellness,197.12,0,1576.96,8,0
2023-07-02,S009,P046,Medical Devices,50.85,0,50.85,1,0
2023-07-02,S009,P042,Wellness,407.39,0,2036.95,5,0
2023-07-02,S009,P017,Wellness,73.76,5,210.22,3,1
2023-07-02,S009,P018,Personal Care,76.35,0,458.1,6,0
2023-07-02,S009,P039,OTC,89.87,0,718.96,8,0
2023-07-02,S009,P027,Wellness,222.72,5,846.34,4,1
2023-07-02,S009,P036,OTC,313.61,5,1489.65,5,1
2023-07-02,S010,P028,Personal Care,206.3,15,876.78,5,1
2023-07-02,S010,P019,Wellness,404.47,10,1820.12,5,1
2023-07-02,S010,P011,Personal Care,487.4,10,877.32,2,1
2023-07-02,S010,P018,Wellness,238.1,0,1904.8,8,0
2023-07-02,S010,P044,Prescription,268.11,0,1876.77,7,0
2023-07-02,S010,P048,Wellness,210.19,20,1177.06,7,1
2023-07-02,S010,P023,Medical Devices,346.83,0,2080.98,6,0
2023-07-02,S010,P034,Personal Care,459.15,5,3053.35,7,1
2023-07-03,S001,P045,Wellness,498.69,20,1196.86,3,1
2023-07-03,S001,P017,Wellness,373.71,15,1588.27,5,1
2023-07-03,S001,P019,Personal Care,391.81,20,2194.14,7,1
2023-07-03,S001,P035,Wellness,421.69,0,1265.07,3,0
2023-07-03,S001,P031,Prescription,326.2,5,1549.45,5,1
2023-07-03,S001,P022,Medical Devices,354.28,0,1417.12,4,0
